Watering (with production factor);01/01/2024;14;Setor10;08:44;mix1
Watering;01/01/2024;8;Setor11;08:52;No
Watering;01/01/2024;25;Setor22;09:17;No
Watering (with production factor);01/01/2024;7;Setor41;09:24;mix1
Watering;01/01/2024;10;Setor42;09:34;No
Watering;01/01/2024;14;Setor10;15:34;No
Watering;01/01/2024;8;Setor11;15:42;No
Watering;01/01/2024;25;Setor22;16:07;No
Watering;01/01/2024;7;Setor41;16:14;No
Watering;01/01/2024;10;Setor42;16:24;No
Watering;02/01/2024;14;Setor10;08:44;No
Watering;02/01/2024;8;Setor11;08:52;No
Watering (with production factor);02/01/2024;25;Setor21;09:17;mix2
Watering;02/01/2024;7;Setor41;09:24;No
Watering;02/01/2024;14;Setor10;15:34;No
Watering;02/01/2024;8;Setor11;15:42;No
Watering;02/01/2024;25;Setor21;16:07;No
Watering (with production factor);02/01/2024;7;Setor41;16:14;mix1
Watering;03/01/2024;14;Setor10;08:44;No
Watering;03/01/2024;8;Setor11;08:52;No
Watering;03/01/2024;25;Setor22;09:17;No
Watering;03/01/2024;7;Setor41;09:24;No
Watering (with production factor);03/01/2024;14;Setor10;15:34;mix1
Watering;03/01/2024;8;Setor11;15:42;No
Watering;03/01/2024;25;Setor22;16:07;No
Watering;03/01/2024;7;Setor41;16:14;No
Watering;04/01/2024;14;Setor10;08:44;No
Watering;04/01/2024;8;Setor11;08:52;No
Watering;04/01/2024;25;Setor21;09:17;No
Watering (with production factor);04/01/2024;7;Setor41;09:24;mix1
Watering;04/01/2024;10;Setor42;09:34;No
Watering;04/01/2024;14;Setor10;15:34;No
Watering;04/01/2024;8;Setor11;15:42;No
Watering;04/01/2024;25;Setor21;16:07;No
Watering;04/01/2024;7;Setor41;16:14;No
Watering;04/01/2024;10;Setor42;16:24;No
Watering;05/01/2024;14;Setor10;08:44;No
Watering;05/01/2024;8;Setor11;08:52;No
Watering;05/01/2024;25;Setor22;09:17;No
Watering;05/01/2024;7;Setor41;09:24;No
Watering;05/01/2024;14;Setor10;15:34;No
Watering;05/01/2024;8;Setor11;15:42;No
Watering;05/01/2024;25;Setor22;16:07;No
Watering (with production factor);05/01/2024;7;Setor41;16:14;mix1
Watering (with production factor);06/01/2024;14;Setor10;08:44;mix1
Watering;06/01/2024;8;Setor11;08:52;No
Watering;06/01/2024;25;Setor21;09:17;No
Watering;06/01/2024;7;Setor41;09:24;No
Watering;06/01/2024;14;Setor10;15:34;No
Watering;06/01/2024;8;Setor11;15:42;No
Watering;06/01/2024;25;Setor21;16:07;No
Watering;06/01/2024;7;Setor41;16:14;No
Watering;07/01/2024;14;Setor10;08:44;No
Watering;07/01/2024;8;Setor11;08:52;No
Watering;07/01/2024;25;Setor22;09:17;No
Watering (with production factor);07/01/2024;7;Setor41;09:24;mix1
Watering;07/01/2024;10;Setor42;09:34;No
Watering;07/01/2024;14;Setor10;15:34;No
Watering;07/01/2024;8;Setor11;15:42;No
Watering;07/01/2024;25;Setor22;16:07;No
Watering;07/01/2024;7;Setor41;16:14;No
Watering;07/01/2024;10;Setor42;16:24;No
Watering;08/01/2024;14;Setor10;08:44;No
Watering;08/01/2024;8;Setor11;08:52;No
Watering;08/01/2024;25;Setor21;09:17;No
Watering;08/01/2024;7;Setor41;09:24;No
Watering (with production factor);08/01/2024;14;Setor10;15:34;mix1
Watering;08/01/2024;8;Setor11;15:42;No
Watering;08/01/2024;25;Setor21;16:07;No
Watering (with production factor);08/01/2024;7;Setor41;16:14;mix1
Watering;09/01/2024;14;Setor10;08:44;No
Watering;09/01/2024;8;Setor11;08:52;No
Watering;09/01/2024;25;Setor22;09:17;No
Watering;09/01/2024;7;Setor41;09:24;No
Watering;09/01/2024;14;Setor10;15:34;No
Watering;09/01/2024;8;Setor11;15:42;No
Watering;09/01/2024;25;Setor22;16:07;No
Watering;09/01/2024;7;Setor41;16:14;No
Watering;10/01/2024;14;Setor10;08:44;No
Watering;10/01/2024;8;Setor11;08:52;No
Watering;10/01/2024;25;Setor21;09:17;No
Watering (with production factor);10/01/2024;7;Setor41;09:24;mix1
Watering;10/01/2024;10;Setor42;09:34;No
Watering;10/01/2024;14;Setor10;15:34;No
Watering;10/01/2024;8;Setor11;15:42;No
Watering;10/01/2024;25;Setor21;16:07;No
Watering;10/01/2024;7;Setor41;16:14;No
Watering;10/01/2024;10;Setor42;16:24;No
Watering (with production factor);11/01/2024;14;Setor10;08:44;mix1
Watering;11/01/2024;8;Setor11;08:52;No
Watering;11/01/2024;25;Setor22;09:17;No
Watering;11/01/2024;7;Setor41;09:24;No
Watering;11/01/2024;14;Setor10;15:34;No
Watering;11/01/2024;8;Setor11;15:42;No
Watering;11/01/2024;25;Setor22;16:07;No
Watering (with production factor);11/01/2024;7;Setor41;16:14;mix1
Watering;12/01/2024;14;Setor10;08:44;No
Watering;12/01/2024;8;Setor11;08:52;No
Watering;12/01/2024;25;Setor21;09:17;No
Watering;12/01/2024;7;Setor41;09:24;No
Watering;12/01/2024;14;Setor10;15:34;No
Watering;12/01/2024;8;Setor11;15:42;No
Watering (with production factor);12/01/2024;25;Setor21;16:07;mix2
Watering;12/01/2024;7;Setor41;16:14;No
Watering;13/01/2024;14;Setor10;08:44;No
Watering;13/01/2024;8;Setor11;08:52;No
Watering;13/01/2024;25;Setor22;09:17;No
Watering (with production factor);13/01/2024;7;Setor41;09:24;mix1
Watering;13/01/2024;10;Setor42;09:34;No
Watering (with production factor);13/01/2024;14;Setor10;15:34;mix1
Watering;13/01/2024;8;Setor11;15:42;No
Watering;13/01/2024;25;Setor22;16:07;No
Watering;13/01/2024;7;Setor41;16:14;No
Watering;13/01/2024;10;Setor42;16:24;No
Watering;14/01/2024;14;Setor10;08:44;No
Watering;14/01/2024;8;Setor11;08:52;No
Watering;14/01/2024;25;Setor21;09:17;No
Watering;14/01/2024;7;Setor41;09:24;No
Watering;14/01/2024;14;Setor10;15:34;No
Watering;14/01/2024;8;Setor11;15:42;No
Watering;14/01/2024;25;Setor21;16:07;No
Watering (with production factor);14/01/2024;7;Setor41;16:14;mix1
Watering;15/01/2024;14;Setor10;08:44;No
Watering;15/01/2024;8;Setor11;08:52;No
Watering;15/01/2024;25;Setor22;09:17;No
Watering;15/01/2024;7;Setor41;09:24;No
Watering;15/01/2024;14;Setor10;15:34;No
Watering;15/01/2024;8;Setor11;15:42;No
Watering;15/01/2024;25;Setor22;16:07;No
Watering;15/01/2024;7;Setor41;16:14;No
Watering (with production factor);16/01/2024;14;Setor10;08:44;mix1
Watering;16/01/2024;8;Setor11;08:52;No
Watering (with production factor);16/01/2024;25;Setor21;09:17;mix2
Watering (with production factor);16/01/2024;7;Setor41;09:24;mix1
Watering;16/01/2024;10;Setor42;09:34;No
Watering;16/01/2024;14;Setor10;15:34;No
Watering;16/01/2024;8;Setor11;15:42;No
Watering;16/01/2024;25;Setor21;16:07;No
Watering;16/01/2024;7;Setor41;16:14;No
Watering;16/01/2024;10;Setor42;16:24;No
Watering;17/01/2024;14;Setor10;08:44;No
Watering;17/01/2024;8;Setor11;08:52;No
Watering;17/01/2024;25;Setor22;09:17;No
Watering;17/01/2024;7;Setor41;09:24;No
Watering;17/01/2024;14;Setor10;15:34;No
Watering;17/01/2024;8;Setor11;15:42;No
Watering;17/01/2024;25;Setor22;16:07;No
Watering (with production factor);17/01/2024;7;Setor41;16:14;mix1
Watering;18/01/2024;14;Setor10;08:44;No
Watering;18/01/2024;8;Setor11;08:52;No
Watering;18/01/2024;25;Setor21;09:17;No
Watering;18/01/2024;7;Setor41;09:24;No
Watering (with production factor);18/01/2024;14;Setor10;15:34;mix1
Watering;18/01/2024;8;Setor11;15:42;No
Watering;18/01/2024;25;Setor21;16:07;No
Watering;18/01/2024;7;Setor41;16:14;No
Watering;19/01/2024;14;Setor10;08:44;No
Watering;19/01/2024;8;Setor11;08:52;No
Watering;19/01/2024;25;Setor22;09:17;No
Watering (with production factor);19/01/2024;7;Setor41;09:24;mix1
Watering;19/01/2024;10;Setor42;09:34;No
Watering;19/01/2024;14;Setor10;15:34;No
Watering;19/01/2024;8;Setor11;15:42;No
Watering;19/01/2024;25;Setor22;16:07;No
Watering;19/01/2024;7;Setor41;16:14;No
Watering;19/01/2024;10;Setor42;16:24;No
Watering;20/01/2024;14;Setor10;08:44;No
Watering;20/01/2024;8;Setor11;08:52;No
Watering;20/01/2024;25;Setor21;09:17;No
Watering;20/01/2024;7;Setor41;09:24;No
Watering;20/01/2024;14;Setor10;15:34;No
Watering;20/01/2024;8;Setor11;15:42;No
Watering;20/01/2024;25;Setor21;16:07;No
Watering (with production factor);20/01/2024;7;Setor41;16:14;mix1
Watering (with production factor);21/01/2024;14;Setor10;08:44;mix1
Watering;21/01/2024;8;Setor11;08:52;No
Watering;21/01/2024;25;Setor22;09:17;No
Watering;21/01/2024;7;Setor41;09:24;No
Watering;21/01/2024;14;Setor10;15:34;No
Watering;21/01/2024;8;Setor11;15:42;No
Watering;21/01/2024;25;Setor22;16:07;No
Watering;21/01/2024;7;Setor41;16:14;No
Watering;22/01/2024;14;Setor10;08:44;No
Watering;22/01/2024;8;Setor11;08:52;No
Watering;22/01/2024;25;Setor21;09:17;No
Watering (with production factor);22/01/2024;7;Setor41;09:24;mix1
Watering;22/01/2024;10;Setor42;09:34;No
Watering;22/01/2024;14;Setor10;15:34;No
Watering;22/01/2024;8;Setor11;15:42;No
Watering;22/01/2024;25;Setor21;16:07;No
Watering;22/01/2024;7;Setor41;16:14;No
Watering;22/01/2024;10;Setor42;16:24;No
Watering;23/01/2024;14;Setor10;08:44;No
Watering;23/01/2024;8;Setor11;08:52;No
Watering;23/01/2024;25;Setor22;09:17;No
Watering;23/01/2024;7;Setor41;09:24;No
Watering (with production factor);23/01/2024;14;Setor10;15:34;mix1
Watering;23/01/2024;8;Setor11;15:42;No
Watering;23/01/2024;25;Setor22;16:07;No
Watering (with production factor);23/01/2024;7;Setor41;16:14;mix1
Watering;24/01/2024;14;Setor10;08:44;No
Watering;24/01/2024;8;Setor11;08:52;No
Watering;24/01/2024;25;Setor21;09:17;No
Watering;24/01/2024;7;Setor41;09:24;No
Watering;24/01/2024;14;Setor10;15:34;No
Watering;24/01/2024;8;Setor11;15:42;No
Watering;24/01/2024;25;Setor21;16:07;No
Watering;24/01/2024;7;Setor41;16:14;No
Watering;25/01/2024;14;Setor10;08:44;No
Watering;25/01/2024;8;Setor11;08:52;No
Watering;25/01/2024;25;Setor22;09:17;No
Watering (with production factor);25/01/2024;7;Setor41;09:24;mix1
Watering;25/01/2024;10;Setor42;09:34;No
Watering;25/01/2024;14;Setor10;15:34;No
Watering;25/01/2024;8;Setor11;15:42;No
Watering;25/01/2024;25;Setor22;16:07;No
Watering;25/01/2024;7;Setor41;16:14;No
Watering;25/01/2024;10;Setor42;16:24;No
Watering (with production factor);26/01/2024;14;Setor10;08:44;mix1
Watering;26/01/2024;8;Setor11;08:52;No
Watering;26/01/2024;25;Setor21;09:17;No
Watering;26/01/2024;7;Setor41;09:24;No
Watering;26/01/2024;14;Setor10;15:34;No
Watering;26/01/2024;8;Setor11;15:42;No
Watering (with production factor);26/01/2024;25;Setor21;16:07;mix2
Watering (with production factor);26/01/2024;7;Setor41;16:14;mix1
Watering;27/01/2024;14;Setor10;08:44;No
Watering;27/01/2024;8;Setor11;08:52;No
Watering;27/01/2024;25;Setor22;09:17;No
Watering;27/01/2024;7;Setor41;09:24;No
Watering;27/01/2024;14;Setor10;15:34;No
Watering;27/01/2024;8;Setor11;15:42;No
Watering;27/01/2024;25;Setor22;16:07;No
Watering;27/01/2024;7;Setor41;16:14;No
Watering;28/01/2024;14;Setor10;08:44;No
Watering;28/01/2024;8;Setor11;08:52;No
Watering;28/01/2024;25;Setor21;09:17;No
Watering (with production factor);28/01/2024;7;Setor41;09:24;mix1
Watering;28/01/2024;10;Setor42;09:34;No
Watering (with production factor);28/01/2024;14;Setor10;15:34;mix1
